,date,state,fips,cases,deaths,New Cases,New Deaths,population
13777,2020-07-27,Pennsylvania,42,0.008811220907940578,0.00055942031765623,9.529016283466869e-05,3.119154266273934e-07,12823989
13778,2020-07-28,Pennsylvania,42,0.008899648931389446,0.0005612138313593376,8.842802344886603e-05,1.793513703107512e-06,12823989
13779,2020-07-29,Pennsylvania,42,0.00896632085383105,0.0005629293662057882,6.667192244160534e-05,1.7155348464506636e-06,12823989
13780,2020-07-30,Pennsylvania,42,0.009034084480265851,0.0005651907530488369,6.776362643480122e-05,2.261386843048602e-06,12823989
13781,2020-07-31,Pennsylvania,42,0.009106916732383348,0.0005662044781853759,7.283225211749636e-05,1.0137251365390285e-06,12823989
13782,2020-08-01,Pennsylvania,42,0.009160020333766661,0.0005669062878952875,5.310360138331373e-05,7.018097099116352e-07,12823989
13783,2020-08-02,Pennsylvania,42,0.009204468282061066,0.0005672182033219148,4.4447948294403556e-05,3.119154266273934e-07,12823989
13784,2020-08-03,Pennsylvania,42,0.009274571274195571,0.0005673741610352286,7.010299213450667e-05,1.559577133136967e-07,12823989
13785,2020-08-04,Pennsylvania,42,0.009339137767507442,0.0005689337381683655,6.456649331187043e-05,1.559577133136967e-06,12823989
13786,2020-08-05,Pennsylvania,42,0.009395828396296971,0.0005700254421615614,5.669062878952875e-05,1.0917039931958768e-06,12823989
13787,2020-08-06,Pennsylvania,42,0.009458367439335764,0.0005723648078612669,6.253904303879237e-05,2.3393656997054503e-06,12823989
13788,2020-08-07,Pennsylvania,42,0.009519502862954733,0.0005739243849944038,6.11354236189691e-05,1.559577133136967e-06,12823989
13789,2020-08-08,Pennsylvania,42,0.009565354430668959,0.000574860131274286,4.585156771422683e-05,9.357462798821802e-07,12823989
13790,2020-08-09,Pennsylvania,42,0.009615728772069284,0.0005750160889875998,5.0374341400324036e-05,1.559577133136967e-07,12823989
13791,2020-08-10,Pennsylvania,42,0.009690354537889887,0.0005753280044142271,7.462576582060387e-05,3.119154266273934e-07,12823989
