,date,state,aggravated-assault,arson,burglary,homicide,larceny,motor-vehicle-theft,property-crime,rape,robbery,violent-crime,population
73,2019,Illinois,0.00010306759229092003,5.482318738878725e-06,7.88670710007268e-05,1.096463747775745e-06,0.0002814779078218591,3.406869502017493e-05,0.00039989599258163954,9.789854890854866e-06,2.2242550312022255e-05,0.0001361964612415729,12768320
74,1991,North Dakota,0.00020523331717948516,0.00010063052971381207,0.0021715009043506814,3.972257751861003e-06,0.012014755613462247,0.0008275536983043756,0.015114440745831115,0.00018537202842018014,4.5018921187758034e-05,0.0004395965245392843,755238
75,1992,North Dakota,0.00023303912144251215,0.00010327870154838607,0.0023052335819966686,6.6204295864350045e-06,0.013888337186423353,0.0009056747674243086,0.017202524237392717,0.00020523331717948516,5.561160852605404e-05,0.0005005044767344863,755238
76,1993,North Dakota,0.00023436320735979916,0.0001297604198941261,0.0022972890664929467,1.0592687338296007e-05,0.01421671049391053,0.0010023330393862597,0.01764609301968386,0.00018802020025475414,5.9583866277915045e-05,0.0004925599612307643,755238
77,1994,North Dakota,0.00024495589469809517,0.00011784364663854308,0.0020774908042233043,,0.014145209854377032,0.0010592687338296007,0.017399813039068478,0.00021582600451778116,7.679698320264605e-05,0.0005375788824185224,755238
78,1995,North Dakota,0.00022774277777336415,0.00011387138888668207,0.0021450191860049417,2.6481718345740016e-06,0.013338841530749247,0.0010526483042431658,0.016650380409884036,0.00017875159883374512,6.223203811248905e-05,0.0004713745865541723,755238
79,1996,North Dakota,0.00023965955102894717,9.665827196195107e-05,0.0018868224321339764,1.1916773255583009e-05,0.01184527261604951,0.0011294452874458117,0.014958198607591249,0.00019066837208932814,6.752838178163705e-05,0.0005097730781554954,755238
80,1997,North Dakota,0.00023701137919437316,9.136192829280307e-05,0.0022363811142977444,6.6204295864350045e-06,0.012987958762668192,0.0011109080846037937,0.016426609889862533,0.00018537202842018014,4.369483527047103e-05,0.00047269867247145934,755238
81,1998,North Dakota,0.00022377052002150316,9.930644379652507e-05,0.002329067128507835,6.6204295864350045e-06,0.012782725445488707,0.0011413620607013948,0.01635246107849446,0.0002476040665326692,5.693569444334104e-05,0.0005349307105839483,755238
82,1999,North Dakota,0.0002476040665326692,9.003784237551607e-05,0.0022509460593879015,7.944515503722006e-06,0.010689345610257958,0.0010049812112208336,0.01403531072324221,0.00021450191860049414,6.620429586435005e-05,0.0005362547965012354,755238
