date,state,aggravated-assault,arson,burglary,homicide,larceny,motor-vehicle-theft,property-crime,rape,robbery,violent-crime
2001,Texas,5055.0,405.0,16728.0,74.0,63490.0,7114.0,87737.0,1511.0,2086.0,8726.0
2001,Utah,2034.0,329.0,8165.0,56.0,48009.0,4824.0,61327.0,896.0,792.0,3778.0
2001,Virginia,11471.0,1810.0,30199.0,356.0,171526.0,18243.0,221778.0,2843.0,6599.0,21269.0
2001,Vermont,372.0,86.0,2624.0,7.0,10052.0,702.0,13464.0,87.0,84.0,550.0
2001,West Virginia,3686.0,409.0,8578.0,40.0,25994.0,3169.0,38150.0,507.0,612.0,4845.0
2002,Arkansas,346.0,15.0,1073.0,3.0,2852.0,311.0,4251.0,25.0,96.0,470.0
2002,Colorado,4911.0,802.0,14059.0,75.0,59786.0,10564.0,85211.0,1106.0,1532.0,7624.0
2002,Connecticut,1830.0,151.0,5707.0,20.0,24835.0,3604.0,34297.0,345.0,1253.0,3448.0
2002,DC,107.0,3.0,3.0,1.0,921.0,453.0,1380.0,1.0,103.0,212.0
2002,Delaware,3400.0,342.0,5630.0,30.0,19449.0,3209.0,28630.0,442.0,1326.0,5198.0
2002,Iowa,6236.0,642.0,17464.0,46.0,67846.0,5810.0,91762.0,1040.0,1153.0,8475.0
2002,Idaho,2653.0,333.0,7429.0,36.0,29422.0,2654.0,39838.0,668.0,241.0,3598.0
2002,Illinois,3.0,,1.0,1.0,6.0,,7.0,12.0,1.0,17.0
2002,Kansas,4210.0,719.0,10864.0,39.0,43432.0,3625.0,58640.0,897.0,565.0,5711.0
2002,Kentucky,458.0,40.0,1603.0,10.0,6111.0,490.0,8244.0,91.0,115.0,674.0
2002,Massachusetts,11554.0,646.0,18644.0,61.0,54996.0,10507.0,84793.0,1087.0,2183.0,14885.0
2002,Michigan,21497.0,2272.0,50477.0,229.0,172091.0,23770.0,248610.0,6605.0,4745.0,33076.0
2002,North Dakota,208.0,77.0,1708.0,2.0,8858.0,821.0,11464.0,173.0,37.0,420.0
2002,Nebraska,260.0,,,7.0,,805.0,805.0,130.0,,397.0
2002,New Hampshire,35.0,12.0,299.0,,1644.0,80.0,2035.0,41.0,20.0,96.0
2002,Ohio,3834.0,855.0,26156.0,179.0,70926.0,11352.0,109289.0,1321.0,5112.0,10446.0
2002,South Carolina,26243.0,749.0,43620.0,306.0,126264.0,17175.0,187808.0,2764.0,5888.0,35201.0
2002,South Dakota,251.0,32.0,1034.0,5.0,3293.0,246.0,4605.0,95.0,22.0,373.0
2002,Tennessee,29578.0,1552.0,61250.0,426.0,165096.0,26366.0,254264.0,3015.0,9535.0,42554.0
2002,Texas,5632.0,423.0,18877.0,71.0,74190.0,7722.0,101212.0,1776.0,2446.0,9925.0
2002,Utah,2574.0,346.0,11501.0,36.0,62558.0,7078.0,81483.0,1105.0,990.0,4705.0
2002,Virginia,11862.0,1785.0,30792.0,384.0,178391.0,18713.0,229681.0,2935.0,6873.0,22054.0
2002,Vermont,415.0,100.0,3227.0,13.0,9637.0,720.0,13684.0,123.0,68.0,619.0
2002,West Virginia,3007.0,534.0,8689.0,76.0,24921.0,3440.0,37584.0,506.0,590.0,4179.0
2003,Arkansas,2359.0,224.0,7845.0,43.0,14809.0,1096.0,23974.0,371.0,364.0,3137.0
2003,Colorado,4755.0,785.0,14692.0,76.0,61934.0,10238.0,87649.0,1135.0,1585.0,7551.0
2003,Connecticut,1667.0,154.0,5513.0,28.0,24384.0,3431.0,33482.0,321.0,1419.0,3435.0
2003,DC,114.0,,,1.0,768.0,368.0,1136.0,3.0,105.0,223.0
2003,Delaware,3818.0,365.0,6175.0,21.0,19789.0,2963.0,29292.0,444.0,1450.0,5733.0
2003,Iowa,6014.0,611.0,16794.0,50.0,64044.0,5588.0,87037.0,988.0,1121.0,8173.0
2003,Idaho,2541.0,324.0,7588.0,26.0,29733.0,2664.0,40309.0,630.0,243.0,3440.0
2003,Illinois,3.0,,,,4.0,,4.0,2.0,2.0,7.0
2003,Kansas,5218.0,817.0,14883.0,74.0,55442.0,4393.0,75535.0,1040.0,944.0,7276.0
2003,Kentucky,495.0,42.0,1594.0,10.0,6314.0,486.0,8436.0,121.0,111.0,737.0
2003,Louisiana,456.0,16.0,1127.0,18.0,3697.0,395.0,5235.0,56.0,68.0,598.0
2003,Massachusetts,10906.0,653.0,19666.0,63.0,61022.0,11862.0,93203.0,1247.0,2996.0,15212.0
2003,Maine,,,,,1.0,,1.0,,,
2003,Michigan,20005.0,2158.0,48818.0,203.0,170738.0,25925.0,247639.0,6389.0,4739.0,31336.0
2003,North Dakota,228.0,65.0,1457.0,6.0,7967.0,857.0,10346.0,167.0,34.0,435.0
2003,Nebraska,360.0,,,4.0,,786.0,786.0,188.0,,552.0
2003,New Hampshire,516.0,206.0,2432.0,7.0,11629.0,954.0,15221.0,387.0,151.0,1061.0
2003,Ohio,3832.0,821.0,28506.0,171.0,83191.0,12127.0,124645.0,1503.0,5093.0,10599.0
2003,Oregon,58.0,17.0,423.0,3.0,1001.0,162.0,1603.0,45.0,26.0,132.0
2003,South Carolina,25503.0,874.0,43846.0,302.0,130839.0,16393.0,191952.0,2634.0,5847.0,34286.0
2003,South Dakota,276.0,31.0,1192.0,4.0,3554.0,305.0,5082.0,97.0,21.0,398.0
2003,Tennessee,28626.0,1569.0,63359.0,398.0,169957.0,26260.0,261145.0,2819.0,9474.0,41317.0
2003,Texas,4548.0,314.0,15635.0,82.0,56736.0,5792.0,78477.0,1308.0,1710.0,7648.0
2003,Utah,2731.0,298.0,11485.0,49.0,59901.0,6769.0,78453.0,1171.0,1106.0,5057.0
2003,Virginia,11398.0,1602.0,28702.0,415.0,167378.0,18145.0,215827.0,2881.0,6762.0,21456.0
